,0
0,Newcastle fans think they’ve got their club back. But at what cost?
1,Has England gone back to the office?
2,What went wrong with the UK’s handling of the Covid pandemic?
3,Dubai’s ruler and the Pegasus phone hacking exposed in a UK court
4,The countdown to Cop26: can world leaders save the planet?
5,The whistleblower who plunged Facebook into crisis
6,Can women trust the police?
7,Why everything you’ve heard about panic buying might be wrong
8,The Pandora papers: who’s giving money to the Conservatives?
9,Inside the Pandora papers – financial secrets of the rich and powerful
10,Boris Johnson wants a conference reset. Will reality ruin it?
11,The conviction of R Kelly
12,Can China help end the world’s addiction to coal?
13,Bond is back. Where’s he going next?
14,The Pegasus project: hacked in London
15,Keir Starmer’s make-or-break conference week
16,The energy crisis no one saw coming
17,Germany decides: who will follow Angela Merkel?
18,Going nuclear: the secret submarine deal to challenge China 
19,Finally! Get ready for a new season of culture
20,The murder of Fikile: the woman who took on a coal mine
21,The problem with OnlyFans’ mainstream dream
22,Who’s paying for the government’s plan to fix social care?
23,Is Brexit the reason McDonald’s is running out of milkshakes?
24,"Ecstasy, LSD and magic mushrooms: are these drugs the future of therapy?"
25,A conversation about Islamophobia in the UK since 9/11
26,"Inside Al-Qaida: a recruit-turned-spy, a journalist and the road to 9/11"
27,The children of 9/11
28,Burnout in the US battle against wildfires
29,One hour to escape: the race to get out of a Gaza tower before an Israeli airstrike
30,One man’s epic electric test drive – from Land’s End to John o’Groats
31,The big coronavirus questions as a new school term begins
32,The British citizens left behind in Kabul
33,The knock: the families torn apart by an arrest over child abuse images
34,Revisited: how meme stars of the early internet struck it rich with NFTs
35,Revisited: Why is Sex and the City coming back to our screens?
36,Revisited: the danger – and beauty – of ultrarunning
37,Revisited: Inside the ’Ndrangheta trial
38,Revisited: The pandemic scam artists making millions during lockdown
39,Revisited: why has the Brazilian butt lift become so popular?
40,A Paralympian’s long journey to Tokyo
41,The Plymouth attack and misogynist ‘incel’ culture
42,How the pandemic exposed the crisis in children’s social care
43,How the Taliban took Afghanistan
44,After ICU: a Covid patient meets one of the doctors who saved his life
45,The fall of Andrew Cuomo
46,Has the Delta variant derailed Australia’s zero-Covid strategy?
47,Scientists issue a climate code red
48,Israel’s shadow war with Iran
49,In search of answers about miscarriage
50,"Racism, policing and austerity: have lessons been learned since England’s 2011 riots?"
51,Why a Belarusian Olympic sprinter refused to fly home
52,How Simone Biles changed gymnastics – on and off the mat
53,Are plans to change the Official Secrets Act a threat to journalism?
54,Why did Unesco drop Liverpool from its heritage list?
55,How we all got hooked on caffeine
56,The lobbying push that killed off a fight to save the Great Barrier Reef
57,The Republican backlash in Joe Biden’s America
58,The pandemic enters a new phase
59,The authority gap: why women still aren’t taken seriously
60,The Pegasus project part 5: the fightback against private spyware begins
61,The Pegasus project part 4: runaway princesses and the UK connection
62,"The Pegasus project part 3: cartels, corruption and cyber-weapons"
63,The Pegasus project part 2: cat and mouse
64,The Pegasus project part 1: an invitation to Paris
65,Marina Hyde on the political circus of the last five years 
66,Inside the mind of an Olympic athlete one week before the games
67,The heatwave forcing America to confront climate reality
68,Is it possible to make the internet safe for children?
69,The people searching for missing family members during the pandemic
70,The Indigenous children who died at Canada’s residential schools
71,"The government’s rape review: an apology, but will anything change?"
72,Euro 2020: what would it mean if England could actually … win?
73,After Grenfell: the unsolved cladding crisis
74,Why do powerful men have affairs?
75,Britney Spears’ battle to take back control of her life and fortune
76,How a pro-democracy newspaper in Hong Kong died
77,How the Batley and Spen byelection turned toxic
78,Matt Hancock’s downfall 
79,"Young, hot and bothered: going through menopause in my 30s"
80,The new Brexit crisis for Northern Ireland’s unionists
81,How meme stars of the early internet are striking it rich with NFTs
82,Police corruption and the unsolved murder of Daniel Morgan
83,Do we have to learn to live with Covid-19?
84,Karim’s story: Egypt’s crackdown on human rights workers 
85,Why England’s footballers are so determined to keep taking the knee 
86,Is the truth out there? The US government prepares its landmark report on UFOs
87,Israel’s unlikely coalition: is this the end for Netanyahu?
88,What’s behind the mass protests in Colombia?
89,What went wrong with Covid-19 response in the US?
90,GB News enters the culture war
91,The G7 and a crucial moment for the climate
92,The interrogation of Matt Hancock
93,The danger – and beauty – of ultrarunning
94,Why every statue should come down
95,Australia’s mouse plague
96,The Wuhan lab leak theory
97,Bashar al-Assad’s decade of destruction in Syria
98,Will Tokyo really host a pandemic Olympics?
99,Can the US avoid another Trump?
